Data,Dia,Fundo inicial,Vendas dinheiro,Sangrias,Diferença,
01/06/2025, dom.,"R$ 350,00","R$ 590,00","R$ 960,00","-R$ 20,00",
07/06/2025, sáb.,"R$ 350,00","R$ 756,80","R$ 1.106,70","R$ 0,10",
09/06/2025, seg.,"R$ 350,00","R$ 315,10","R$ 667,10","-R$ 2,00",
10/06/2025, ter.,"R$ 350,00","R$ 20,00","R$ 370,00","R$ 0,00",
11/06/2025, qua.,"R$ 350,00","R$ 180,70","R$ 532,70","-R$ 2,00",
12/06/2025, qui.,"R$ 350,00","R$ 1.556,04","R$ 1.706,50","R$ 199,54",
13/06/2025, sex.,"R$ 350,00","R$ 498,70","R$ 849,40","-R$ 0,70",
14/06/2025, sáb.,"R$ 350,00","R$ 645,20","R$ 995,20","R$ 0,00",
16/06/2025, seg.,"R$ 350,00","R$ 0,00","R$ 350,00","R$ 0,00",
17/06/2025, ter.,"R$ 350,00","R$ 168,30","R$ 518,30","R$ 0,00",
18/06/2025, qua.,"R$ 350,00","R$ 522,00","R$ 872,00","R$ 0,00",
19/06/2025, qui.,"R$ 350,00","R$ 210,50","R$ 560,50","R$ 0,00",
20/06/2025, sex.,"R$ 350,00","R$ 163,80","R$ 515,10","-R$ 1,30",
21/06/2025, sáb.,"R$ 350,00","R$ 934,35","R$ 1.293,50","-R$ 9,15",
23/06/2025, seg.,"R$ 350,00","R$ 351,30","R$ 701,35","-R$ 0,05",
24/06/2025, ter.,"R$ 350,00","R$ 0,00","R$ 350,00","R$ 0,00",
25/06/2025, qua.,"R$ 350,00","R$ 100,00","R$ 454,00","-R$ 4,00",
26/06/2025, qui.,"R$ 350,00","R$ 130,00","R$ 480,00","R$ 0,00",
06/06/2025, sex.,"R$ 350,00","R$ 384,40","R$ 734,40","R$ 0,00",conferidos depois
05/06/2025, qui.,"R$ 350,00","R$ 46,76","R$ 396,95","-R$ 0,19",conferidos depois
27/06/2025, sex.,"R$ 350,00","R$ 308,21","R$ 662,00","-R$ 3,79",
28/06/2025, sáb.,"R$ 350,00","R$ 252,30","R$ 602,30","R$ 0,00",
30/06/2025, seg.,"R$ 350,00","R$ 214,00","R$ 564,00","R$ 0,00",
01/07/2025, ter.,"R$ 350,00","R$ 211,90","R$ 561,90","R$ 0,00",
02/07/2025, qua.,"R$ 350,00","R$ 111,10","R$ 461,10","R$ 0,00",
03/07/2025, qui.,"R$ 350,00","R$ 126,70","R$ 476,70","R$ 0,00",
04/07/2025, sex.,"R$ 350,00","R$ 169,04","R$ 514,05","R$ 4,99",
05/07/2025, sáb.,"R$ 350,00","R$ 592,95","R$ 943,95","-R$ 1,00",
07/07/2025, seg.,"R$ 350,00","R$ 652,70","R$ 1.002,70","R$ 0,00",
08/07/2025, ter.,"R$ 350,00","R$ 86,90","R$ 436,90","R$ 0,00",
09/07/2025, qua.,"R$ 350,00","R$ 1.087,00","R$ 1.534,50","-R$ 97,50","Teve uma venda de 100 reais da comanda de chivas que não foi dado baixa / 2,50 um cliente saiu sem pagar"
10/07/2025, qui.,"R$ 350,00","R$ 100,00","R$ 450,00","R$ 0,00",
12/07/2025, sáb.,"R$ 700,00","R$ 842,40","R$ 1.568,40","-R$ 26,00",
14/07/2025, seg.,"R$ 350,00","R$ 50,00","R$ 400,00","R$ 0,00",
15/07/2025, ter.,"R$ 350,00","R$ 257,40","R$ 607,70","-R$ 0,30",
16/07/2025, qua.,"R$ 350,00","R$ 1.095,50","R$ 1.446,40","-R$ 0,90",
17/07/2025, qui.,"R$ 350,00","R$ 164,70","R$ 514,70","R$ 0,00",
18/07/2025, sex.,"R$ 350,00","R$ 1.303,60","R$ 1.654,20","-R$ 0,60",
19/07/2025, sáb.,"R$ 350,00","R$ 730,89","R$ 1.088,30","-R$ 7,41",
21/07/2025, seg.,"R$ 350,00","R$ 687,15","R$ 1.037,45","-R$ 0,30",
22/07/2025, ter.,"R$ 350,00","R$ 213,79","R$ 563,30","R$ 0,49","faltou 0,49"
23/07/2025, qua.,"R$ 350,00","R$ 100,00","R$ 450,00","R$ 0,00",
24/07/2025, qui.,"R$ 350,00","R$ 481,60","R$ 831,60","R$ 0,00",
25/07/2025, sex.,"R$ 350,00","R$ 2.107,55","R$ 2.458,05","-R$ 0,50",
26/07/2025, sáb.,"R$ 350,00","R$ 800,30","R$ 1.160,20","-R$ 9,90","tem 9,90 a mais do que as vendas em dinheiro "
